w1,w2,n,n1,n2,pmi
food,poisoning,3,4,3,9.543515216152167
cable,tv,3,4,6,8.543515216152167
come,from,4,6,11,7.499121096793714
this,book,4,19,4,7.295587702708582
old,people,6,9,13,7.25811299728992
such,as,3,3,24,6.958552715431011
save,time,3,7,11,6.8616911761784225
most,visit,3,16,5,6.806549621985961
as,well,6,25,7,6.677266605040995
finish,my,3,4,23,6.6049157608163105
my,brother,4,31,4,6.5893189057652926
of,course,3,48,3,5.958552715431011
do,not,11,23,25,5.835528688957727
will,take,3,17,11,5.581583256985687
lot,of,3,4,47,5.573888865195686
of,money,3,48,5,5.221587121264805
say,that,3,8,30,5.221587121264805
some,of,5,9,47,5.14092945791958
so,you,4,9,39,5.088187995847607
want,to,6,7,78,5.035720575953471
in,mexico,3,59,5,4.92390657262412
that,she,3,31,10,4.852353311599086
to,buy,3,81,4,4.788627713988699
a,list,3,111,3,4.749099349802061
a,lot,5,111,5,4.749099349802061
live,in,4,9,56,4.566235292652251
need,to,3,5,78,4.521147403123713
i,need,3,73,6,4.35369065727215
we,bicycle,3,58,8,4.270496721745752
a,little,5,111,7,4.26367252263182
one,of,3,10,47,4.251960770308324
there,be,10,12,137,4.182448727357847
mexico,and,3,5,100,4.1626934322112366
when,we,3,12,42,4.151197793373407
the,coffin,4,174,4,4.100571720303439
the,woman,3,174,3,4.100571720303439
you,will,4,42,17,4.063734952123068
like,to,3,7,78,4.035720575953471
to,save,3,81,7,3.981272791931095
he,have,6,24,48,3.9585527154310114
be,still,4,137,6,3.8605206324704846
become,a,3,6,105,3.8292696984860446
make,a,4,8,105,3.8292696984860446
when,i,3,12,54,3.788627713988699
in,this,4,59,15,3.7539815711818076
the,doctor,11,174,14,3.752648416883132
it,be,14,23,137,3.729276099192232
be,why,3,137,5,3.708517539025435
the,british,3,174,4,3.6855342210245956
the,story,9,174,12,3.685534221024595
clean,the,5,8,148,3.65598994541058
culture,and,4,10,100,3.5777309314900805
of,they,3,48,16,3.5435152161521675
the,american,4,174,6,3.515609219582283
be,probably,3,137,6,3.4454831331916407
more,of,3,18,47,3.4039638637533742
of,it,3,48,18,3.373590214709855
the,way,3,174,5,3.363606126137233
you,can,3,42,21,3.343842871315803
to,take,3,81,11,3.329196095351402
do,you,3,23,39,3.3195135419540627
i,will,4,73,17,3.266227816021811
on,the,7,15,148,3.2345261769723033
be,no,3,137,7,3.223090711855193
be,very,3,137,7,3.223090711855193
to,do,5,81,20,3.2036652132675427
from,the,5,11,148,3.196558326773283
a,clean,3,111,9,3.1641368490809056
have,to,11,48,78,3.1325821152060596
we,also,3,58,18,3.1005717203034395
ask,the,5,12,148,3.0710274446894235
doctor,and,3,11,100,3.0251899084613023
from,a,3,11,105,2.954800580569904
be,live,3,137,9,2.8605206324704846
be,not,7,137,25,2.60898186547452
at,a,4,19,105,2.5813421850424594
i,can,3,73,21,2.546335735214546
the,house,3,174,9,2.515609219582283
the,most,4,174,12,2.515609219582283
the,shirt,3,174,9,2.515609219582283
all,the,3,11,148,2.459592732607077
we,have,5,58,48,2.4224998151908013
i,have,6,73,48,2.35369065727215
of,the,12,48,148,2.334061850523218
with,a,4,23,105,2.305707742429032
have,a,8,48,105,2.244307197764888
as,a,4,25,105,2.1854135087113202
we,be,12,58,137,2.172464638785225
in,the,12,59,148,2.0363813018825327
be,more,3,137,17,1.9429827926624577
be,also,3,137,18,1.8605206324704846
he,be,4,24,137,1.8605206324704846
she,be,3,18,137,1.8605206324704846
they,be,3,18,137,1.8605206324704846
this,be,3,19,137,1.7825181204692118
at,the,3,19,148,1.6710968378007884
i,be,10,73,137,1.577586669198986
for,the,3,23,148,1.395462395187361
to,the,9,81,148,1.1641368490809052
and,we,3,100,42,1.092304104319839
that,be,3,31,137,1.0762493235259218
in,a,4,59,105,0.9466266491242036
be,a,9,137,105,0.9011626169678303
have,be,4,48,137,0.8605206324704845
and,a,6,100,105,0.7703760094324766
and,i,3,100,54,0.7297340249351307
to,be,6,81,137,0.6905956310281722
and,the,7,100,148,0.49756058280609716
